"PersonId","Internal_network_size","Collaboration_hours","weekend_collaboration_hours","After_hours_call_hours","performance"
"SYNTH_RF_0001",37,13.84,0.57,0.11,2
"SYNTH_RF_0001",39,7.46,0.68,0.31,2
"SYNTH_RF_0001",34,10.35,0.02,0.44,2
"SYNTH_RF_0001",39,8.2,0.91,0.04,2
"SYNTH_RF_0001",34,8.91,0.33,0.12,2
"SYNTH_RF_0001",37,13.8,0.29,0.34,2
"SYNTH_RF_0001",44,9.46,0.35,0.11,2
"SYNTH_RF_0001",38,8.31,0.29,0.23,2
"SYNTH_RF_0002",40,10.98,0.57,0.46,4
"SYNTH_RF_0002",31,12.59,0.03,0.46,4
"SYNTH_RF_0002",44,8.26,0.18,0,4
"SYNTH_RF_0002",38,10.82,0.36,0.17,4
"SYNTH_RF_0002",32,9.13,0.08,0.5,4
"SYNTH_RF_0002",42,10.79,0.33,0.98,4
"SYNTH_RF_0002",41,12.77,0.53,0.36,4
"SYNTH_RF_0002",28,9.97,0.75,0.61,4
"SYNTH_RF_0003",20,11.56,0.1,0.14,1
"SYNTH_RF_0003",19,12.07,0.88,0.49,1
"SYNTH_RF_0003",21,7.87,0.55,0.37,1
"SYNTH_RF_0003",15,12.57,0.23,0.07,1
"SYNTH_RF_0003",27,6.68,0.28,0.54,1
"SYNTH_RF_0003",32,8.46,0.29,0.27,1
"SYNTH_RF_0003",27,12.95,0.88,0.26,1
"SYNTH_RF_0003",35,9.17,1.11,1.45,1
"SYNTH_RF_0004",33,12.76,0.45,0.03,4
"SYNTH_RF_0004",41,15.06,0.19,1.06,4
"SYNTH_RF_0004",38,10.25,0.41,1.51,4
"SYNTH_RF_0004",54,12.95,1.02,0.3,4
"SYNTH_RF_0004",32,15.11,0.21,0.15,4
"SYNTH_RF_0004",39,9.64,0.06,0.01,4
"SYNTH_RF_0004",34,14.18,0.22,0.63,4
"SYNTH_RF_0004",25,11.08,0.24,0.09,4
"SYNTH_RF_0005",29,13.18,0.5,0.05,2
"SYNTH_RF_0005",32,14.2,0.12,0.41,2
"SYNTH_RF_0005",35,11.49,2.81,0.44,2
"SYNTH_RF_0005",37,10.17,0.04,0.32,2
