"PersonId","TaskType","credits","PeriodStart","PeriodEnd"
"PID0001","Write or debug code",34.2,"2026-01-04","2026-07-04"
"PID0001","Meeting workflow",12.5,"2026-01-04","2026-07-04"
"PID0001","Email workflow",37.7,"2026-01-04","2026-07-04"
"PID0001","Communication workflow",59.1,"2026-01-04","2026-07-04"
"PID0001","Document and comment",63.4,"2026-01-04","2026-07-04"
"PID0001","Analysis and research",51.2,"2026-01-04","2026-07-04"
"PID0001","General assistance",28.9,"2026-01-04","2026-07-04"
"PID0001","Specialised workflow",110.3,"2026-01-04","2026-07-04"
"PID0002","Write or debug code",24.3,"2026-01-04","2026-07-04"
"PID0002","Meeting workflow",35.7,"2026-01-04","2026-07-04"
"PID0002","Email workflow",59.1,"2026-01-04","2026-07-04"
"PID0002","Communication workflow",105.4,"2026-01-04","2026-07-04"
"PID0002","Document and comment",12.4,"2026-01-04","2026-07-04"
"PID0002","Analysis and research",148.2,"2026-01-04","2026-07-04"
"PID0002","General assistance",70.1,"2026-01-04","2026-07-04"
"PID0002","Specialised workflow",29.4,"2026-01-04","2026-07-04"
"PID0003","Write or debug code",17.4,"2026-01-04","2026-07-04"
"PID0003","Meeting workflow",12.1,"2026-01-04","2026-07-04"
"PID0003","Email workflow",28.1,"2026-01-04","2026-07-04"
"PID0003","Communication workflow",5.5,"2026-01-04","2026-07-04"
"PID0003","Document and comment",20.1,"2026-01-04","2026-07-04"
"PID0003","Analysis and research",3.7,"2026-01-04","2026-07-04"
"PID0003","General assistance",25.1,"2026-01-04","2026-07-04"
"PID0003","Specialised workflow",8.3,"2026-01-04","2026-07-04"
"PID0004","Write or debug code",124.6,"2026-01-04","2026-07-04"
"PID0004","Meeting workflow",18.1,"2026-01-04","2026-07-04"
"PID0004","Email workflow",38.5,"2026-01-04","2026-07-04"
"PID0004","Communication workflow",9.3,"2026-01-04","2026-07-04"
"PID0004","Document and comment",278,"2026-01-04","2026-07-04"
"PID0004","Analysis and research",24.6,"2026-01-04","2026-07-04"
"PID0004","General assistance",36.7,"2026-01-04","2026-07-04"
"PID0004","Specialised workflow",48.1,"2026-01-04","2026-07-04"
"PID0005","Write or debug code",23.8,"2026-01-04","2026-07-04"
"PID0005","Meeting workflow",9.4,"2026-01-04","2026-07-04"
"PID0005","Email workflow",22.8,"2026-01-04","2026-07-04"
"PID0005","Communication workflow",13.1,"2026-01-04","2026-07-04"
"PID0005","Document and comment",9.8,"2026-01-04","2026-07-04"
"PID0005","Analysis and research",31.3,"2026-01-04","2026-07-04"
"PID0005","General assistance",26.2,"2026-01-04","2026-07-04"
"PID0005","Specialised workflow",28.9,"2026-01-04","2026-07-04"
"PID0006","Write or debug code",0,"2026-01-04","2026-07-04"
"PID0006","Meeting workflow",0,"2026-01-04","2026-07-04"
"PID0006","Email workflow",0,"2026-01-04","2026-07-04"
"PID0006","Communication workflow",0,"2026-01-04","2026-07-04"
"PID0006","Document and comment",0,"2026-01-04","2026-07-04"
"PID0006","Analysis and research",0,"2026-01-04","2026-07-04"
"PID0006","General assistance",0,"2026-01-04","2026-07-04"
"PID0006","Specialised workflow",0,"2026-01-04","2026-07-04"
"PID0007","Write or debug code",0.9,"2026-01-04","2026-07-04"
"PID0007","Meeting workflow",0.3,"2026-01-04","2026-07-04"
"PID0007","Email workflow",0.8,"2026-01-04","2026-07-04"
"PID0007","Communication workflow",0.3,"2026-01-04","2026-07-04"
"PID0007","Document and comment",1.3,"2026-01-04","2026-07-04"
"PID0007","Analysis and research",0.3,"2026-01-04","2026-07-04"
"PID0007","General assistance",0.8,"2026-01-04","2026-07-04"
"PID0007","Specialised workflow",0.1,"2026-01-04","2026-07-04"
"PID0008","Write or debug code",62.4,"2026-01-04","2026-07-04"
"PID0008","Meeting workflow",20.6,"2026-01-04","2026-07-04"
"PID0008","Email workflow",34.6,"2026-01-04","2026-07-04"
"PID0008","Communication workflow",138.7,"2026-01-04","2026-07-04"
"PID0008","Document and comment",76.7,"2026-01-04","2026-07-04"
"PID0008","Analysis and research",84.8,"2026-01-04","2026-07-04"
"PID0008","General assistance",14.9,"2026-01-04","2026-07-04"
"PID0008","Specialised workflow",30.4,"2026-01-04","2026-07-04"
"PID0009","Write or debug code",26.4,"2026-01-04","2026-07-04"
"PID0009","Meeting workflow",152.6,"2026-01-04","2026-07-04"
"PID0009","Email workflow",78.6,"2026-01-04","2026-07-04"
"PID0009","Communication workflow",76.9,"2026-01-04","2026-07-04"
"PID0009","Document and comment",68.7,"2026-01-04","2026-07-04"
"PID0009","Analysis and research",582,"2026-01-04","2026-07-04"
"PID0009","General assistance",55.5,"2026-01-04","2026-07-04"
"PID0009","Specialised workflow",68.4,"2026-01-04","2026-07-04"
"PID0010","Write or debug code",405.6,"2026-01-04","2026-07-04"
"PID0010","Meeting workflow",83.2,"2026-01-04","2026-07-04"
"PID0010","Email workflow",183.4,"2026-01-04","2026-07-04"
"PID0010","Communication workflow",198.2,"2026-01-04","2026-07-04"
"PID0010","Document and comment",345.1,"2026-01-04","2026-07-04"
"PID0010","Analysis and research",197.8,"2026-01-04","2026-07-04"
"PID0010","General assistance",543,"2026-01-04","2026-07-04"
"PID0010","Specialised workflow",104.7,"2026-01-04","2026-07-04"
"PID0011","Write or debug code",0,"2026-01-04","2026-07-04"
"PID0011","Meeting workflow",0,"2026-01-04","2026-07-04"
"PID0011","Email workflow",0,"2026-01-04","2026-07-04"
"PID0011","Communication workflow",0,"2026-01-04","2026-07-04"
"PID0011","Document and comment",0,"2026-01-04","2026-07-04"
"PID0011","Analysis and research",0,"2026-01-04","2026-07-04"
"PID0011","General assistance",0,"2026-01-04","2026-07-04"
"PID0011","Specialised workflow",0,"2026-01-04","2026-07-04"
"PID0012","Write or debug code",164.5,"2026-01-04","2026-07-04"
"PID0012","Meeting workflow",281.8,"2026-01-04","2026-07-04"
"PID0012","Email workflow",124.3,"2026-01-04","2026-07-04"
"PID0012","Communication workflow",148,"2026-01-04","2026-07-04"
"PID0012","Document and comment",261,"2026-01-04","2026-07-04"
"PID0012","Analysis and research",606.4,"2026-01-04","2026-07-04"
"PID0012","General assistance",111.3,"2026-01-04","2026-07-04"
"PID0012","Specialised workflow",179.7,"2026-01-04","2026-07-04"
"PID0013","Write or debug code",3.9,"2026-01-04","2026-07-04"
"PID0013","Meeting workflow",8,"2026-01-04","2026-07-04"
"PID0013","Email workflow",7.7,"2026-01-04","2026-07-04"
"PID0013","Communication workflow",11.8,"2026-01-04","2026-07-04"
"PID0013","Document and comment",39.3,"2026-01-04","2026-07-04"
"PID0013","Analysis and research",10.2,"2026-01-04","2026-07-04"
"PID0013","General assistance",6.2,"2026-01-04","2026-07-04"
"PID0013","Specialised workflow",49.4,"2026-01-04","2026-07-04"
"PID0014","Write or debug code",0.5,"2026-01-04","2026-07-04"
"PID0014","Meeting workflow",1,"2026-01-04","2026-07-04"
"PID0014","Email workflow",0.9,"2026-01-04","2026-07-04"
"PID0014","Communication workflow",0.8,"2026-01-04","2026-07-04"
"PID0014","Document and comment",0.2,"2026-01-04","2026-07-04"
"PID0014","Analysis and research",1.5,"2026-01-04","2026-07-04"
"PID0014","General assistance",0.1,"2026-01-04","2026-07-04"
"PID0014","Specialised workflow",1,"2026-01-04","2026-07-04"
"PID0015","Write or debug code",15.5,"2026-01-04","2026-07-04"
"PID0015","Meeting workflow",7.3,"2026-01-04","2026-07-04"
"PID0015","Email workflow",3.2,"2026-01-04","2026-07-04"
"PID0015","Communication workflow",1.6,"2026-01-04","2026-07-04"
"PID0015","Document and comment",2.3,"2026-01-04","2026-07-04"
"PID0015","Analysis and research",2.3,"2026-01-04","2026-07-04"
"PID0015","General assistance",23.5,"2026-01-04","2026-07-04"
"PID0015","Specialised workflow",2.1,"2026-01-04","2026-07-04"
"PID0016","Write or debug code",178,"2026-01-04","2026-07-04"
"PID0016","Meeting workflow",88.4,"2026-01-04","2026-07-04"
"PID0016","Email workflow",34.2,"2026-01-04","2026-07-04"
"PID0016","Communication workflow",19.4,"2026-01-04","2026-07-04"
"PID0016","Document and comment",98.4,"2026-01-04","2026-07-04"
"PID0016","Analysis and research",32.3,"2026-01-04","2026-07-04"
"PID0016","General assistance",37.7,"2026-01-04","2026-07-04"
"PID0016","Specialised workflow",87.4,"2026-01-04","2026-07-04"
"PID0017","Write or debug code",74.4,"2026-01-04","2026-07-04"
"PID0017","Meeting workflow",95,"2026-01-04","2026-07-04"
"PID0017","Email workflow",107.8,"2026-01-04","2026-07-04"
"PID0017","Communication workflow",44.3,"2026-01-04","2026-07-04"
"PID0017","Document and comment",66.2,"2026-01-04","2026-07-04"
"PID0017","Analysis and research",59.9,"2026-01-04","2026-07-04"
"PID0017","General assistance",47.4,"2026-01-04","2026-07-04"
"PID0017","Specialised workflow",16.3,"2026-01-04","2026-07-04"
"PID0018","Write or debug code",60.7,"2026-01-04","2026-07-04"
"PID0018","Meeting workflow",37,"2026-01-04","2026-07-04"
"PID0018","Email workflow",229.2,"2026-01-04","2026-07-04"
"PID0018","Communication workflow",75.5,"2026-01-04","2026-07-04"
"PID0018","Document and comment",1009.3,"2026-01-04","2026-07-04"
"PID0018","Analysis and research",99.7,"2026-01-04","2026-07-04"
"PID0018","General assistance",106.4,"2026-01-04","2026-07-04"
"PID0018","Specialised workflow",112.6,"2026-01-04","2026-07-04"
"PID0019","Write or debug code",2.1,"2026-01-04","2026-07-04"
"PID0019","Meeting workflow",2.2,"2026-01-04","2026-07-04"
"PID0019","Email workflow",6,"2026-01-04","2026-07-04"
"PID0019","Communication workflow",8.1,"2026-01-04","2026-07-04"
"PID0019","Document and comment",9.4,"2026-01-04","2026-07-04"
"PID0019","Analysis and research",3.5,"2026-01-04","2026-07-04"
"PID0019","General assistance",3,"2026-01-04","2026-07-04"
"PID0019","Specialised workflow",7.1,"2026-01-04","2026-07-04"
"PID0020","Write or debug code",47.9,"2026-01-04","2026-07-04"
"PID0020","Meeting workflow",61.8,"2026-01-04","2026-07-04"
"PID0020","Email workflow",40.4,"2026-01-04","2026-07-04"
"PID0020","Communication workflow",15.8,"2026-01-04","2026-07-04"
"PID0020","Document and comment",25.7,"2026-01-04","2026-07-04"
"PID0020","Analysis and research",26.3,"2026-01-04","2026-07-04"
"PID0020","General assistance",130.9,"2026-01-04","2026-07-04"
"PID0020","Specialised workflow",33.1,"2026-01-04","2026-07-04"
"PID0021","Write or debug code",168.3,"2026-01-04","2026-07-04"
"PID0021","Meeting workflow",265.6,"2026-01-04","2026-07-04"
"PID0021","Email workflow",160.4,"2026-01-04","2026-07-04"
"PID0021","Communication workflow",914.1,"2026-01-04","2026-07-04"
"PID0021","Document and comment",429.1,"2026-01-04","2026-07-04"
"PID0021","Analysis and research",593.2,"2026-01-04","2026-07-04"
"PID0021","General assistance",668,"2026-01-04","2026-07-04"
"PID0021","Specialised workflow",559.6,"2026-01-04","2026-07-04"
"PID0022","Write or debug code",38.4,"2026-01-04","2026-07-04"
"PID0022","Meeting workflow",52.2,"2026-01-04","2026-07-04"
"PID0022","Email workflow",4.2,"2026-01-04","2026-07-04"
"PID0022","Communication workflow",2.8,"2026-01-04","2026-07-04"
"PID0022","Document and comment",6.2,"2026-01-04","2026-07-04"
"PID0022","Analysis and research",12,"2026-01-04","2026-07-04"
"PID0022","General assistance",12.6,"2026-01-04","2026-07-04"
"PID0022","Specialised workflow",18.1,"2026-01-04","2026-07-04"
"PID0023","Write or debug code",0,"2026-01-04","2026-07-04"
